,Encoder,Experiment,Generator,Number,test_acc,test_recall,test_precision,test_roc_auc,test_pd_10,test_pd_05,test_pd_01,test_f1,tendency_to_overclassify_positive,tendency_to_overclassify_negative
137,DinoV2,Diff-ProjectedGAN,DDPM,no,0.9409999847412109,0.8981659412384033,0.9879401922225952,0.9933843612670898,0.9739949703216553,0.9382284283638,0.8009119629859924,0.9404012560844421,0.012059807777404785,0.10183405876159668
138,DinoV2,Diff-ProjectedGAN,ADM,no,0.6800000071525574,0.4125239849090576,0.9292095303535461,0.8800317049026489,0.6190307140350342,0.4236602187156677,0.19724823534488678,0.5687316656112671,0.07079046964645386,0.5874760150909424
139,DinoV2,Diff-ProjectedGAN,ProjectedGAN,no,0.9929999709129333,0.9981176853179932,0.9882674813270569,0.9999373555183411,1.0,1.0,0.8920859098434448,0.9931213855743408,0.011732518672943115,0.001882314682006836
140,DinoV2,Diff-ProjectedGAN,StyleGAN,no,0.824999988079071,0.6799032092094421,0.9741774797439575,0.964233934879303,0.8700805902481079,0.8199988603591919,0.5138786435127258,0.8000215888023376,0.02582252025604248,0.32009679079055786
141,DinoV2,Diff-ProjectedGAN,Diff-StyleGAN2,no,0.9459999799728394,0.9051012396812439,0.9897192716598511,0.9946379065513611,0.9807498455047607,0.956190824508667,0.8117287158966064,0.9450076818466187,0.010280728340148926,0.0948987603187561
142,DinoV2,Diff-ProjectedGAN,coco,no,0.5529999732971191,0.2521474063396454,0.5746462941169739,0.6200636029243469,0.17537014186382294,0.08841048181056976,0.030038926750421524,0.3479730784893036,0.4253537058830261,0.7478525936603546
143,DinoV2,LDM,LDM,no,0.9620000123977661,0.9780152440071106,0.9482398629188538,0.9959074258804321,0.9879238605499268,0.9685548543930054,0.8319926857948303,0.9626656770706177,0.05176013708114624,0.021984755992889404
144,DinoV2,LDM,IDDPM,no,0.968999981880188,0.9922255873680115,0.9506708979606628,0.9962089657783508,1.0,0.9792190790176392,0.7595334649085999,0.9708579182624817,0.04932910203933716,0.007774412631988525
145,DinoV2,LDM,ProGAN,no,0.9750000238418579,1.0,0.9529501795768738,1.0,1.0,1.0,0.8960000276565552,0.9758176207542419,0.04704982042312622,0.0
146,DinoV2,LDM,PNDM,no,0.9710000157356262,0.9963879585266113,0.9508625268936157,0.9995419979095459,1.0,0.9982702732086182,0.8754499554634094,0.9728723168373108,0.04913747310638428,0.003612041473388672
147,DinoV2,LDM,Diff-ProjectedGAN,no,0.9700000286102295,0.9961397051811218,0.9484643936157227,0.999005913734436,0.9979682564735413,0.9941079616546631,0.8628200888633728,0.9716717600822449,0.051535606384277344,0.003860294818878174
148,DinoV2,LDM,DDPM,no,0.972000002861023,0.9918085336685181,0.9562998414039612,0.9991737008094788,0.9959365129470825,0.9940541982650757,0.8771281838417053,0.9735968112945557,0.04370015859603882,0.008191466331481934
149,DinoV2,LDM,ADM,no,0.8650000095367432,0.8007426261901855,0.9266346096992493,0.9472414255142212,0.8242635726928711,0.6775069236755371,0.39128902554512024,0.858373761177063,0.07336539030075073,0.19925737380981445
150,DinoV2,LDM,ProjectedGAN,no,0.9639999866485596,1.0,0.9347048401832581,0.9994667172431946,1.0,0.9960859417915344,0.871084451675415,0.9660490155220032,0.06529515981674194,0.0
151,DinoV2,LDM,StyleGAN,no,0.9150000214576721,0.9172087907791138,0.9183847904205322,0.9743151664733887,0.9089314341545105,0.8016483187675476,0.5087093114852905,0.91707444190979,0.08161520957946777,0.08279120922088623
152,DinoV2,LDM,Diff-StyleGAN2,no,0.9769999980926514,0.9963010549545288,0.9603514075279236,0.9986739754676819,0.9980307817459106,0.9924121499061584,0.8721079230308533,0.9778615832328796,0.039648592472076416,0.0036989450454711914
153,DinoV2,LDM,coco,no,0.5580000281333923,0.3293086588382721,0.5623078346252441,0.5946564674377441,0.15062279999256134,0.11017587780952454,0.03999227657914162,0.4144653081893921,0.43769216537475586,0.6706913411617279
154,DinoV2,ProjectedGAN,LDM,no,0.8809999823570251,0.7752871513366699,0.9904173016548157,0.9752219915390015,0.9263734221458435,0.8855552077293396,0.6450961232185364,0.8684387803077698,0.009582698345184326,0.22471284866333008
155,DinoV2,ProjectedGAN,IDDPM,no,0.8700000047683716,0.7639671564102173,0.9796789884567261,0.9791626930236816,0.9450821876525879,0.8834728002548218,0.4813414216041565,0.8581554293632507,0.020321011543273926,0.23603284358978271
156,DinoV2,ProjectedGAN,ProGAN,no,0.9980000257492065,1.0,0.9957931041717529,1.0,1.0,1.0,0.8960000276565552,0.9978790879249573,0.00420689582824707,0.0
